#Zk_Abs,0,re(Mode(1)),vpc
79.1571894,0,195.9336096,0.315817563
40.24452834,0,196.229916,0.31135961
26.0455337,0,196.7021364,0.307316056
18.74702902,0,197.3440702,0.303658647
14.3865666,0,198.14884196104902,0.300359753
11.48605565,0,199.1268793,0.297419622
9.436744122,0,200.27467174604098,0.294817624
7.923196747,0,201.5739016,0.292512435
6.758136899,0,203.01681923873002,0.29048041
5.847735076,0,204.5801403,0.288676896
5.122938674,0,206.3022671,0.287147013
4.534182286,0,208.16407566381798,0.285853094
4.046307341,0,210.1492884,0.284763382
3.643735752,0,212.2237177,0.283823391
3.299148789,0,214.4059266,0.283052304
3.007595679,0,216.67884491064498,0.282421062
2.757449026,0,219.0360935,0.281916066
2.537530395,0,221.47282310508803,0.281526367
2.350245074,0,223.9659151,0.2812182
2.182310513,0,226.5135808,0.280986362
2.041733005,0,229.1196461,0.280832899
1.916494127,0,231.7560711,0.280720475
1.803397389,0,234.42258201700102,0.280647326
1.702483778,0,237.1069118,0.280597322
1.614642201,0,239.8092577,0.280569908
1.534738438,0,242.5141816,0.280546146
1.461558299,0,245.2190649,0.280522865
1.395954346,0,247.9047034,0.280477933
1.341089472,0,250.57646604878298,0.280418173
1.296293209,0,253.2180122,0.280325651
1.269822702,0,255.8284887,0.28020046
