"$phi [rad]","vpc []","vpc_mode2 []","vpc_mode3 []"
6.4,0.320728288332566,0.490317606791485,0.525647477304926
6.5,0.316479140280206,0.48259069500071,0.518088022997188
6.6,0.312229992227847,0.474863783209936,0.510528568689449
6.7,0.308759465492569,0.467312493936608,0.503775637625029
6.8,0.305288938757291,0.45976120466328,0.497022706560608
6.9,0.302508155767657,0.452374916063872,0.490995878350722
7,0.299727372778023,0.444988627464463,0.484969050140836
7.1,0.297422183924394,0.437730165332936,0.479437865807514
7.2,0.295407171203997,0.430547176701285,0.474240913396038
7.3,0.293637796682602,0.423423464818453,0.469324441999462
7.4,0.292131461154023,0.416372288077561,0.464722470854833
7.5,0.290817133529195,0.409371773310547,0.460351445280337
7.6,0.289707599860086,0.402431101190121,0.456240824264465
7.7,0.288790705326437,0.395560307604557,0.452381310690781
7.8,0.288007439946226,0.388726893580891,0.448710727669194
7.9,0.287373443844614,0.381956860450186,0.445253016330692
7.99999999999999,0.286870528847554,0.375232042414261,0.442008215581202
8.09999999999999,0.286469181971608,0.368551348925373,0.438931280631426
8.19999999999999,0.286156701172397,0.361914310955412,0.436025815050135
8.29999999999999,0.285929569180906,0.355335712589647,0.433281312101513
8.39999999999999,0.285759587523945,0.348806412959517,0.430666336133241
8.49999999999999,0.285644418190549,0.342320607782094,0.428196477402984
8.59999999999999,0.285585391894823,0.33591541532945,0.425932135224868
8.69999999999999,0.285526365599096,0.329510222876805,0.423667793046752
8.79999999999999,0.285496868881871,0.323214845440894,0.421608098758372
8.89999999999999,0.285467372164645,0.316919468004982,0.419548404469992
8.99999999999999,0.285433377428836,0.310743970819404,0.417666103968394
9.09999999999999,0.285399382693026,0.304568473633825,0.415783803466797
9.19999999999999,0.285315273899617,0.2985163196522,0.414031263979241
9.29999999999999,0.285231165106209,0.292464165670575,0.412278724491686
9.39999999999999,0.285104638997326,0.286529559857709,0.410615216183482
