#Zk_Abs,0,re(Mode(1)),vpc
14.574631064702274,0,644,0.3140888754434651
10.65792881379936,0,645,0.31141300815396844
6.741226562896394,0,646,0.30873714086447174
5.159946098980411,0,647,0.30711060812789276
4.710496433718088,0,648,0.3059926212872635
4.261046768455766,0,649,0.3048746344466342
3.811597103193458,0,650,0.30375664760600496
3.362147437931154,0,651,0.30263866076537566
2.9126977726688494,0,652,0.3015206739247464
2.7656437528441975,0,653,0.3008996505302395
2.636603341384078,0,654,0.30030823108349103
2.507562929923958,0,655,0.29971681163674263
2.378522518463838,0,656,0.2991253921899942
2.249482107003716,0,657,0.2985339727432457
2.120441695543594,0,658,0.2979425532964973
1.9914012840834712,0,659,0.2973511338497489
1.862360872623349,0,660,0.2967597144030005
1.776565495463349,0,661,0.29629724307961275
1.7124397977082524,0,662,0.2958993864464042
1.6483140999531558,0,663,0.29550152981319555
1.5841884021980592,0,664,0.295103673179987
1.5200627044429624,0,665,0.2947058165467784
1.4704740080171042,0,666,0.2943748456931971
1.4271919010708984,0,667,0.2940728919074817
1.383909794124693,0,668,0.29377093812176625
1.3406276871784875,0,669,0.2934689843360508
1.297345580232282,0,670,0.29316703055033533
1.2560742942157912,0,671,0.2928769005830462
1.2255303635173158,0,672,0.29264984848589487
1.1949864328188404,0,673,0.29242279638874347
1.164442502120365,0,674,0.2921957442915921
1.1338985714218899,0,675,0.2919686921944407
1.1033546407234145,0,676,0.29174164009728937
1.0732674786423826,0,677,0.2915174784613958
1.050723694632737,0,678,0.2913410518082389
1.028179910623091,0,679,0.29116462515508196
1.0056361266134455,0,680,0.29098819850192503
0.9830923426037996,0,681,0.29081177184876805
0.9605485585941539,0,682,0.29063534519561113
0.9380047745845081,0,683,0.2904589185424542
0.9182568838168702,0,684,0.29030383055938014
0.9012504005447216,0,685,0.2901696654031258
0.884243917272573,0,686,0.2900355002468714
0.8672374340004245,0,687,0.28990133509061705
0.8502309507282759,0,688,0.28976716993436274
0.8332244674561273,0,689,0.2896330047781084
0.8162179841839788,0,690,0.289498839621854
0.8011426909482017,0,691,0.28938307743926656
0.7879375760453124,0,692,0.2892851368288518
0.7747324611424232,0,693,0.2891871962184371
0.761527346239534,0,694,0.28908925560802234
0.7483222313366449,0,695,0.28899131499760766
0.7351171164337557,0,696,0.2888933743871929
0.7219120015308664,0,697,0.2887954337767782
0.7088811738012951,0,698,0.2886989947217112
0.6983998379798292,0,699,0.28862452058314153
0.6879185021583633,0,700,0.2885500464445719
0.6774371663368974,0,701,0.28847557230600224
0.6669558305154315,0,702,0.2884010981674326
0.6564744946939656,0,703,0.28832662402886294
0.6459931588724996,0,704,0.2882521498902933
0.6355118230510337,0,705,0.28817767575172365
0.6257174308552672,0,706,0.28810949261889157
0.6175465002253302,0,707,0.2880561770903915
0.6093755695953932,0,708,0.2880028615618914
0.6012046389654562,0,709,0.2879495460333914
0.5930337083355192,0,710,0.2878962305048913
0.5848627777055821,0,711,0.28784291497639125
0.5766918470756451,0,712,0.28778959944789123
0.5685209164457081,0,713,0.28773628391939116
0.5606682654134479,0,714,0.28768579145147827
0.5540646496765942,0,715,0.2876463776148702
0.5474610339397405,0,716,0.2876069637782621
0.5408574182028868,0,717,0.287567549941654
0.534253802466033,0,718,0.2875281361050459
0.5276501867291793,0,719,0.2874887222684378
0.5210465709923255,0,720,0.2874493084318297
0.5144429552554718,0,721,0.2874098945952216
0.507839339518618,0,722,0.28737048075861354
0.5021605935236004,0,723,0.287342504396671
0.49661213843643026,0,724,0.28731613928752464
0.49106368334926015,0,725,0.2872897741783783
0.48551522826209004,0,726,0.2872634090692319
0.4799667731749199,0,727,0.2872370439600856
0.4744183180877498,0,728,0.28721067885093926
0.46886986300057965,0,729,0.28718431374179293
0.46332140791340953,0,730,0.28715794863264654
0.45803196150801523,0,731,0.28713573889586896
0.45331785899603394,0,732,0.2871227596146143
0.44860375648405265,0,733,0.2871097803333597
0.44388965397207136,0,734,0.2870968010521051
0.4391755514600901,0,735,0.28708382177085046
0.4344614489481088,0,736,0.28707084248959586
0.4297473464361275,0,737,0.28705786320834126
0.4250332439241462,0,738,0.2870448839270866
0.420319141412165,0,739,0.287031904645832
0.41603193836674257,0,740,0.28702076727601383
0.4122215777004012,0,741,0.2870116873026091
0.4084112170340598,0,742,0.2870026073292044
0.4046008563677185,0,743,0.28699352735579964
0.4007904957013771,0,744,0.2869844473823949
0.3969801350350357,0,745,0.2869753674089902
0.3931697743686943,0,746,0.2869662874355855
0.389359413702353,0,747,0.2869572074621808
0.3855490530360116,0,748,0.2869481274887761
0.38191671855552733,0,749,0.2869413779107197
0.3784279218011327,0,750,0.2869365072677626
0.37493912504673804,0,751,0.2869316366248055
0.37145032829234337,0,752,0.2869267659818484
0.36796153153794875,0,753,0.2869218953388913
0.3644727347835541,0,754,0.28691702469593416
0.3609839380291594,0,755,0.28691215405297704
0.3574951412747648,0,756,0.28690728341002
0.3540063445203701,0,757,0.28690241276706285
0.35084476995547587,0,758,0.28689870158227343
0.3479595792300724,0,759,0.28689596971829534
0.3450743885046689,0,760,0.28689323785431725
0.3421891977792655,0,761,0.28689050599033916
0.339304007053862,0,762,0.2868877741263611
0.33641881632845855,0,763,0.286885042262383
0.33353362560305505,0,764,0.2868823103984049
0.3306484348776516,0,765,0.2868795785344268
0.3277632441522481,0,766,0.2868768466704487
0.32505331408696103,0,767,0.2868745354805396
0.3225315497665746,0,768,0.28687267594047317
0.3200097854461882,0,769,0.2868708164004067
0.31748802112580177,0,770,0.28686895686034025
