"Phase [deg]","$phi [rad]","zk_aveg []"
0,6.4,79.3418909078174
0,6.5,52.7427238470302
0,6.6,26.143556786243
0,6.7,20.2974527089156
0,6.8,14.4513486315881
0,6.9,11.9656759348832
0,7,9.48000323817829
0,7.1,7.95889182578099
0,7.2,6.80055462644258
0,7.3,5.89000538881597
0,7.4,5.15533099657064
0,7.5,4.56583416917869
0,7.6,4.08991996624968
0,7.7,3.67627045410474
0,7.8,3.33157897013752
0,7.9,3.03887729807404
0,7.99999999999999,2.78844178364335
0,8.09999999999999,2.57014026499071
0,8.19999999999999,2.38506503334704
0,8.29999999999999,2.21890356287952
0,8.39999999999999,2.06615815086503
0,8.49999999999999,1.93911949517279
0,8.59999999999999,1.83277346479112
0,8.69999999999999,1.72642743440945
0,8.79999999999999,1.63957439594254
0,8.89999999999999,1.55272135747562
0,8.99999999999999,1.48668107281966
0,9.09999999999999,1.42064078816369
0,9.19999999999999,1.36754377022835
0,9.29999999999999,1.31444675229301
0,9.39999999999999,1.2842459516419
