"$phi [rad]","vpc []","vpc_mode2 []","vpc_mode3 []"
6.4,0.332311201200267,0.508795053866876,0.627289613110433
6.5,0.327956002108949,0.500823030695593,0.618291520960828
6.6,0.323600803017631,0.49285100752431,0.609293428811222
6.7,0.320088747184765,0.485125830389767,0.601051474162647
6.8,0.3165766913519,0.477400653255225,0.592809519514071
6.9,0.313949452898514,0.470086213683682,0.585308939275087
7,0.311322214445128,0.462771774112139,0.577808359036103
7.1,0.309057435073084,0.455389112754928,0.570900444658533
7.2,0.307076721481482,0.447977816947331,0.564159214932169
7.3,0.305443329753217,0.440801321774817,0.557851026019526
7.4,0.304032451687459,0.433580579022736,0.551921643658409
7.5,0.302923854113556,0.426551282677021,0.54615403871957
7.6,0.301975684427991,0.419573028799526,0.540605019892979
7.7,0.301232556777873,0.412649683374077,0.53525173444419
7.8,0.30072055605578,0.40584358790652,0.530221001453563
7.9,0.300325808034459,0.399025639005544,0.525552330225407
7.99999999999999,0.299987655796121,0.392284208010892,0.5209218323424
8.09999999999999,0.29976067731485,0.38552687303876,0.516732527005995
8.19999999999999,0.299633353008974,0.378834269304798,0.512524616118518
8.29999999999999,0.299601819550069,0.372185970068929,0.508430572556617
8.39999999999999,0.299675689218851,0.365641887489061,0.504508340035653
8.49999999999999,0.29974235070342,0.359073224508042,0.500684037331301
8.59999999999999,0.299809012187988,0.352504561527022,0.496859734626949
8.69999999999999,0.299887087358399,0.345994511748875,0.493370594981138
8.79999999999999,0.29996516252881,0.339484461970727,0.489881455335327
8.89999999999999,0.300028024837495,0.333043872839878,0.48667852445178
8.99999999999999,0.30009088714618,0.326603283709029,0.483475593568233
9.09999999999999,0.300063404761281,0.320221970125195,0.480373246315265
9.19999999999999,0.300035922376381,0.313840656541361,0.477270899062296
9.29999999999999,0.300037564798848,0.307641295319187,0.474025224416639
9.39999999999999,0.29999675155129,0.301516242234369,0.470984596982844
