#Zk_Abs,0,re(Mode(1)),vpc
0.427861785,0,184.255,0.300817126
1.165819765,0,185.549,0.299762631
1.147915227,0,187.189,0.299299413
1.130010688,0,188.829,0.298836196
1.124120802,0,190.366,0.298231415
1.118230915,0,191.903,0.297626635
1.112420414,0,193.384,0.296961688
1.106609912,0,194.866,0.296296742
1.103688081,0,196.126,0.295326751
1.100766249,0,197.386,0.294356761
1.106328109,0,198.704,0.293500453
1.117256841,0,199.869,0.292435263
1.141889941,0,200.921,0.291227221
1.157559785,0,201.966,0.290031951
1.174996184,0,202.949,0.288770077
1.199595423,0,203.945,0.287549288
1.219904303,0,204.842,0.28621192
1.25309127,0,205.728,0.284883279
1.29656754,0,206.432,0.283328656
1.366142874,0,206.987,0.281597481
1.429743529,0,207.597,0.27997182
1.507422849,0,208.138,0.27828088
1.609215503,0,208.612,0.276531811
1.729370625,0,209.058,0.274774068
1.864765316,0,209.354,0.272850742
2.073993348,0,209.667,0.270982086
2.481581661,0,209.975,0.269152401
2.889169974,0,210.283,0.267322715
4.295866155,0,210.479,0.265411812
5.702562336,0,210.675,0.263500909
-9.579963037,0,210.689,0.261427271
