#Zk_Abs,0,re(Mode(1)),vpc
31.62520423,0,200.47162501141298,0.31314860491085
20.92141322,0,200.93053668264702,0.309099053764895
10.2176222,0,201.389448353882,0.305049502618939
7.948153706,0,202.330231345309,0.301946594876933
5.678685211,0,203.271014336737,0.298843687134928
4.677234023,0,204.74266701292402,0.296676259863286
3.675782834,0,206.214319689112,0.294508832591644
3.088635023,0,207.632275188042,0.292357378248795
2.631871178,0,209.526712114588,0.290927279715211
2.293752951,0,211.489481171763,0.289629941232034
1.969581109,0,213.825147105364,0.288871438583065
1.775031061,0,215.908602113633,0.287796976243553
1.589458221,0,218.388084742376,0.28727173129531
1.437080725,0,220.823191911172,0.286702514852974
1.334995629,0,223.471089783745,0.286420625387182
1.234746896,0,226.27401679181,0.286342056450874
1.157180835,0,229.21544410609698,0.286438528312459
1.077526342,0,232.13000951001501,0.286499464649884
0.997415017,0,235.09547588017898,0.286620971583976
0.939973126,0,237.85121954794698,0.286486943921557
0.894100927,0,240.88414978478298,0.286685998374166
0.856252233,0,243.82888646520598,0.286776641319084
0.818753357,0,246.809341055683,0.286906697033071
0.787035141,0,249.688077552571,0.286916878573446
0.727890147,0,252.60101484518302,0.286965682298904
0.705031553,0,255.454451350956,0.28694655334277
0.685277796,0,258.200112635702,0.286808132989497
0.670304502,0,260.964219358717,0.286694270080404
0.655331209,0,263.728326081733,0.286580407171311
0.794779194,0,266.000102992209,0.285947782032085
0.93422718,0,268.271879902686,0.285315156892859
