"$phi [rad]","vpc []","vpc_mode2 []","vpc_mode3 []"
6.4,0.334256120599351,0.510924737041925,0.624875473991157
6.5,0.329887898478917,0.502952562632293,0.61573125955681
6.6,0.325519676358483,0.494980388222661,0.606587045122463
6.7,0.321887985611456,0.487149320866353,0.598440099325534
6.8,0.31825629486443,0.479318253510045,0.590293153528605
6.9,0.315517636519014,0.471799619679468,0.582732845614458
7,0.312778978173599,0.464280985848891,0.575172537700311
7.1,0.310507621409653,0.456864225165202,0.568263633030331
7.2,0.308420583571203,0.449488245855353,0.562005898725861
7.3,0.306765765730012,0.442280640541021,0.555705488065945
7.4,0.305305930048453,0.435095277735145,0.549803571045424
7.5,0.304095466780595,0.427983745547404,0.544100512947423
7.6,0.303115360399967,0.420948030224575,0.538633096068969
7.7,0.3022860999944,0.413944584479133,0.533486809019786
7.8,0.30166298120447,0.407003763001993,0.5283873791663
7.9,0.301061818743717,0.400025493203247,0.523613048353234
7.99999999999999,0.30067437391377,0.393152511621689,0.519083360198865
8.09999999999999,0.300423114516451,0.386366597825685,0.514757199239806
8.19999999999999,0.300295431125843,0.379687014240271,0.51057792252405
8.29999999999999,0.300246324671862,0.372966340980703,0.506652124755042
8.39999999999999,0.300297943882051,0.366377575406149,0.50287940418701
8.49999999999999,0.300318064355409,0.359733896330347,0.499206038812744
8.59999999999999,0.300362207045203,0.353152239570983,0.495783563628214
8.69999999999999,0.300406349734998,0.346570582811619,0.492361088443684
8.79999999999999,0.300439824277762,0.340025055412051,0.488893508652966
8.89999999999999,0.300473298820526,0.333479528012482,0.485425928862249
8.99999999999999,0.300469614253877,0.32703473043235,0.482226917680696
9.09999999999999,0.300465929687229,0.320589932852218,0.479027906499144
9.19999999999999,0.300427432848121,0.314288173455799,0.476008585277423
9.29999999999999,0.300388936009014,0.307986414059379,0.472989264055702
9.39999999999999,0.300351588043846,0.301846713619774,0.470266774828256
